#! FIELDS D0 file.free der_D0
#! SET min_D0 0.197069
#! SET max_D0 5.54752
#! SET nbins_D0  1515
#! SET periodic_D0 false
    0.197069000  243.709445324   -0.198107848
    0.200602983  243.696046037  -10.354804182
    0.204136967  243.600398793  -51.340429905
    0.207670950  243.250466963 -163.262166659
    0.211204934  242.294177613 -406.852683142
    0.214738917  240.096226368 -883.009239320
    0.218272901  235.676559596 -1675.918358194
    0.221806884  227.842658274 -2812.407155176
    0.225340868  215.520517157 -4182.060587977
    0.228874851  198.317361277 -5519.394547547
    0.232408835  176.966084461 -6469.841168742
    0.235942818  153.380196813 -6752.101875099
    0.239476802  130.111253424 -6304.509254500
    0.243010785  109.442195058 -5331.922430397
    0.246544769   92.621098995 -4194.598163094
    0.250078752   79.593360477 -3227.316930278
    0.253612736   69.413756467 -2590.822377498
    0.257146719   60.926990338 -2250.695996297
    0.260680703   53.340607395 -2052.040542512
    0.264214686   46.416551276 -1856.660602514
    0.267748670   40.298710060 -1596.421466316
    0.271282653   35.167324664 -1307.083987346
    0.274816637   31.027682328 -1045.949936660
    0.278350620   27.679601993 -860.892136428
    0.281884604   24.861853574 -742.151040215
    0.285418587   22.384702268 -661.159061673
    0.288952571   20.186868608 -579.841192209
    0.292486554   18.287858868 -497.027388254
    0.296020538   16.675259834 -417.495643773
    0.299554521   15.302027749 -365.944720403
    0.303088505   14.063648164 -337.885833846
    0.306622488   12.867890710 -337.905838946
    0.310156472   11.654673036 -348.872809482
    0.313690455   10.399446636 -357.497512756
    0.317224439    9.134883839 -358.712178112
    0.320758422    7.893568301 -342.074907368
    0.324292406    6.734215624 -312.209574433
    0.327826389    5.687612257 -282.117677494
    0.331360373    4.737870540 -253.146213046
    0.334894356    3.893748894 -221.148872117
    0.338428339    3.183658791 -178.222507891
    0.341962323    2.642251426 -126.909974514
    0.345496306    2.281472253  -81.253274787
    0.349030290    2.018737686  -69.700171509
    0.352564273    1.773331393  -70.365129686
    0.356098257    1.519061436  -72.022249238
    0.359632240    1.277065590  -61.121427860
    0.363166224    1.086453299  -49.931038888
    0.366700207    0.915402653  -51.116940020
    0.370234191    0.700876385  -72.733892597
    0.373768174    0.419996200  -82.894336108
    0.377302158    0.147881372  -65.560607119
    0.380836141    0.000000000  -14.560514079
    0.384370125    0.058170279   50.125018759
    0.387904108    0.326011239   98.450275301
    0.391438092    0.729988701  128.812324941
    0.394972075    1.224200766  148.701173963
    0.398506059    1.785313367  170.072229461
    0.402040042    2.433752871  198.739459242
    0.405574026    3.174591651  218.593322970
    0.409108009    3.952908165  219.871854756
    0.412641993    4.709256542  206.864846852
    0.416175976    5.395838326  180.437555993
    0.419709960    5.962483625  141.955526793
    0.423243943    6.405182083  109.084821378
    0.426777927    6.744662738   84.571526263
    0.430311910    7.013999123   70.514540634
    0.433845894    7.244921987   57.760570926
    0.437379877    7.414501927   33.768583001
    0.440913861    7.501291458   14.651110513
    0.444447844    7.523959744   -1.015855516
    0.447981828    7.497976541  -11.965167976
    0.451515811    7.449853091  -15.718509044
    0.455049795    7.382058680  -19.550746546
    0.458583778    7.302288786  -24.841097363
    0.462117762    7.198093470  -33.875438015
    0.465651745    7.055313533  -47.159129671
    0.469185729    6.888840693  -45.127967830
    0.472719712    6.732369628  -41.246276105
    0.476253696    6.604359128  -32.010192050
    0.479787679    6.508127863  -22.752743909
    0.483321662    6.447308655  -10.564379572
    0.486855646    6.423099854   -1.958324673
    0.490389629    6.429985120    5.838564405
    0.493923613    6.480320851   23.561077983
    0.497457596    6.606241572   47.042267315
    0.500991580    6.808196364   65.156244804
    0.504525563    7.057385130   71.954619048
    0.508059547    7.302181284   63.931388698
    0.511593530    7.512611255   53.731262273
    0.515127514    7.687277073   44.985420264
    0.518661497    7.849314488   51.164664220
    0.522195481    8.044828857   60.716465455
    0.525729464    8.279564308   72.294236452
    0.529263448    8.540638960   74.602178885
    0.532797431    8.785021512   63.549012496
    0.536331415    8.976784965   47.737053280
    0.539865398    9.133489826   42.709952080
    0.543399382    9.286030139   44.778485476
    0.546933365    9.456951905   53.085546689
    0.550467349    9.652533734   56.806778602
    0.554001332    9.851392671   55.916440227
    0.557535316   10.035392050   47.835812742
    0.561069299   10.203691344   47.061388153
    0.564603283   10.383272639   55.834105704
    0.568137266   10.597660235   66.375746056
    0.571671250   10.837243883   66.600018927
    0.575205233   11.071176701   65.141072547
    0.578739217   11.294048207   58.751344281
    0.582273200   11.487075839   51.211520364
    0.585807184   11.670157727   52.597760026
    0.589341167   11.865483570   57.661060265
    0.592875151   12.072735645   60.516531730
    0.596409134   12.280532156   56.197992945
    0.599943118   12.456387665   42.640715760
    0.603477101   12.579757002   26.948091878
    0.607011085   12.648107181   16.748875339
    0.610545068   12.706774967   17.065190402
    0.614079052   12.769617046   18.288445704
    0.617613035   12.832806446   19.286698225
    0.621147018   12.893746633   13.606353831
    0.624681002   12.926524738    4.967336475
    0.628214985   12.934464138   -1.181671207
    0.631748969   12.934569971    2.217415707
    0.635282952   12.969898801   16.784601578
    0.638816936   13.054288030   32.570446768
    0.642350919   13.168818937   31.731191274
    0.645884903   13.268608907   24.584488336
    0.649418886   13.329261728    4.183491506
    0.652952870   13.306613114  -18.277107985
    0.656486853   13.227713444  -26.058446148
    0.660020837   13.139626399  -20.855200341
    0.663554820   13.100211355   -1.633836381
    0.667088804   13.116251448    8.702551439
    0.670622787   13.139127719    0.930691805
    0.674156771   13.125311683  -11.259896897
    0.677690754   13.075103583  -14.222286383
    0.681224738   13.037518568   -6.369400728
